size,threads,percent_fill,time
4,1,30,0.00133751
4,1,30,0.000735451
4,1,30,0.000681217
4,1,30,0.000586536
4,1,30,0.00151029
4,1,30,0.000862841
4,1,30,0.00109239
4,1,30,0.0012244
4,1,30,0.000880872
4,1,30,0.00100008
4,1,30,0.000803327
4,1,30,0.000645025
4,1,30,0.000838920.000838313
4,1,30,0.000759113
4,1,30,0.0007074
