size,threads,percent_fill,time
4,1,21,0.00301035
4,1,21,0.00124107
4,1,21,0.00283458
4,1,21,0.00101458
4,1,21,0.00257171
4,1,21,0.00225548
4,1,21,0.00267565
4,1,21,0.00256625
4,1,21,0.00274439
4,1,21,0.00273254
4,1,21,0.00429634
4,1,21,0.00409727
4,1,21,0.00296696
4,1,21,0.00240383
4,1,21,0.00283309
4,1,21,0.00120006
4,1,21,0.00206444
4,1,21,0.00117523
4,1,21,0.00140014
4,1,21,0.00278799
4,1,21,0.00263195
4,1,21,0.000881106
4,1,21,0.00134704
4,1,21,0.00229205
4,1,21,0.00230915
4,1,21,0.000737531
4,1,21,0.0013136
4,1,21,0.00266229
4,1,21,0.00123309
4,1,21,0.00165785
4,1,21,0.000717074
4,1,21,0.00160067
4,1,21,0.00149725
4,1,21,0.0020177
4,1,21,0.000735085
4,1,21,0.00178816
4,1,21,0.000733716
4,1,21,0.00239464
4,1,21,0.00184437
4,1,21,0.000965353
4,1,21,0.00219215
4,1,21,0.00229865
4,1,21,0.00209323
4,1,21,0.00151314
4,1,21,0.00146891
4,1,21,0.00148176
4,1,21,0.0013689
4,1,21,0.00277242
4,1,21,0.000702338
4,1,21,0.00235603
4,1,21,0.00277587
4,1,21,0.00315633
4,1,21,0.0022413
4,1,21,0.00088056
4,1,21,0.000604959
4,1,21,0.000635585
4,1,21,0.00161644
4,1,21,0.000639286
4,1,21,0.00123777
4,1,21,0.00290094
4,1,21,0.000785418
4,1,21,0.000570659
4,1,21,0.00061111
4,1,21,0.000745062
4,1,21,0.000908885
4,1,21,0.00237549
4,1,21,0.00214592
4,1,21,0.000831917
4,1,21,0.00331482
4,1,21,0.00318233
4,1,21,0.00292909
4,1,21,0.000687225
4,1,21,0.00255597
4,1,21,0.00219651
4,1,21,0.0020363
4,1,21,0.00196891
4,1,21,0.00177669
4,1,21,0.00201945
4,1,21,0.00064243
4,1,21,0.00242174
4,1,21,0.0024797
4,1,21,0.00262396
4,1,21,0.00150078
4,1,21,0.00114745
4,1,21,0.000741372
4,1,21,0.0012245
4,1,21,0.00311947
4,1,21,0.00212397
4,1,21,0.0021586
4,1,21,0.000806483
4,1,21,0.00176762
4,1,21,0.00240785
4,1,21,0.00130974
4,1,21,0.00185446
4,1,21,0.0015723
4,1,21,0.00258175
4,1,21,0.00258632
4,1,21,0.00111964
