size,threads,percent_fill,time
9,1,4,0.132026
9,1,4,0.155298
9,1,4,0.154831
9,1,4,0.15108
9,1,4,0.150678
9,1,4,0.150215
9,1,4,0.145158
9,1,4,0.144331
9,1,4,0.190679
9,1,4,0.18443
9,1,4,0.180797
9,1,4,0.181785
9,1,4,0.130024
9,1,4,0.156338
9,1,4,0.129513
9,1,4,0.165161
9,1,4,0.165407
9,1,4,0.16493
9,1,4,0.129981
9,1,4,0.120577
9,1,4,0.123889
9,1,4,0.130541
9,1,4,0.127069
9,1,4,0.134456
9,1,4,0.133558
9,1,4,0.127213
9,1,4,0.14325
9,1,4,0.143113
9,1,4,0.129391
9,1,4,0.150944
9,1,4,0.153819
9,1,4,0.153991
9,1,4,0.137383
9,1,4,0.134302
9,1,4,0.147839
9,1,4,0.126615
9,1,4,0.129068
9,1,4,0.126206
9,1,4,0.154671
9,1,4,0.152397
9,1,4,0.159892
9,1,4,0.155944
9,1,4,0.156701
9,1,4,0.1625
9,1,4,0.14694
9,1,4,0.145964
9,1,4,0.140517
9,1,4,0.12231
9,1,4,0.121901
9,1,4,0.12131
9,1,4,0.121787
9,1,4,0.121867
9,1,4,0.127029
9,1,4,0.11185
9,1,4,0.13477
9,1,4,0.131542
9,1,4,0.118354
9,1,4,0.132818
9,1,4,0.130749
9,1,4,0.13084
9,1,4,0.126566
9,1,4,0.119141
9,1,4,0.117556
9,1,4,0.116635
9,1,4,0.156479
9,1,4,0.129396
9,1,4,0.147093
9,1,4,0.136225
9,1,4,0.126461
9,1,4,0.123789
9,1,4,0.124311
9,1,4,0.125039
9,1,4,0.127109
9,1,4,0.150231
9,1,4,0.151298
9,1,4,0.150365
9,1,4,0.136172
9,1,4,0.146571
9,1,4,0.124999
9,1,4,0.127179
9,1,4,0.126045
9,1,4,0.156604
9,1,4,0.130055
9,1,4,0.159147
9,1,4,0.125994
9,1,4,0.13364
9,1,4,0.162925
9,1,4,0.212545
9,1,4,0.113077
9,1,4,0.114067
9,1,4,0.143839
9,1,4,0.134343
9,1,4,0.167751
9,1,4,0.148298
9,1,4,0.161406
9,1,4,0.162138
9,1,4,0.147193
9,1,4,0.143107
